,l_xy,n_pts,time
0,1,10,1.0104942321777344
1,2,10,0.0004067420959472656
2,3,10,0.00013184547424316406
3,4,10,0.0001049041748046875
4,5,10,9.107589721679688e-05
5,6,10,0.00012230873107910156
6,7,10,8.630752563476562e-05
7,8,10,7.295608520507812e-05
8,9,10,0.00010800361633300781
9,10,10,7.677078247070312e-05
10,11,10,7.176399230957031e-05
11,12,10,9.655952453613281e-05
12,13,10,8.058547973632812e-05
13,14,10,9.655952453613281e-05
14,15,10,9.34600830078125e-05
15,16,10,8.034706115722656e-05
16,17,10,8.559226989746094e-05
17,18,10,8.0108642578125e-05
18,19,10,8.58306884765625e-05
19,20,10,7.62939453125e-05
20,21,10,8.797645568847656e-05
21,22,10,7.510185241699219e-05
22,23,10,8.702278137207031e-05
23,24,10,8.034706115722656e-05
24,25,10,8.273124694824219e-05
25,26,10,8.845329284667969e-05
26,27,10,7.557868957519531e-05
27,28,10,7.700920104980469e-05
28,29,10,0.00013709068298339844
29,30,10,0.0001220703125
30,31,10,9.5367431640625e-05
31,32,10,0.00010418891906738281
32,33,10,0.00010657310485839844
33,34,10,9.894371032714844e-05
34,35,10,0.00011086463928222656
35,36,10,9.799003601074219e-05
36,37,10,0.00011301040649414062
37,38,10,7.557868957519531e-05
38,39,10,7.987022399902344e-05
39,40,10,0.0001049041748046875
40,41,10,8.20159912109375e-05
41,42,10,0.00010275840759277344
42,43,10,8.440017700195312e-05
43,44,10,9.107589721679688e-05
44,45,10,9.393692016601562e-05
45,46,10,7.843971252441406e-05
46,47,10,7.009506225585938e-05
47,48,10,7.724761962890625e-05
48,49,10,7.367134094238281e-05
49,50,10,7.104873657226562e-05
50,51,10,7.581710815429688e-05
51,52,10,6.937980651855469e-05
52,53,10,6.818771362304688e-05
53,54,10,8.797645568847656e-05
54,55,10,7.200241088867188e-05
55,56,10,7.462501525878906e-05
56,57,10,8.511543273925781e-05
57,58,10,7.605552673339844e-05
58,59,10,6.556510925292969e-05
59,60,10,9.274482727050781e-05
60,61,10,7.224082946777344e-05
61,62,10,6.890296936035156e-05
62,63,10,7.677078247070312e-05
63,64,10,0.00010728836059570312
64,65,10,7.176399230957031e-05
65,66,10,7.867813110351562e-05
66,67,10,7.176399230957031e-05
67,68,10,0.00010061264038085938
68,69,10,8.940696716308594e-05
69,70,10,9.179115295410156e-05
70,71,10,6.890296936035156e-05
71,72,10,7.987022399902344e-05
72,73,10,8.58306884765625e-05
73,74,10,9.036064147949219e-05
74,75,10,8.893013000488281e-05
75,76,10,7.295608520507812e-05
76,77,10,6.890296936035156e-05
77,78,10,7.939338684082031e-05
78,79,10,7.414817810058594e-05
79,80,10,7.724761962890625e-05
80,81,10,0.00010085105895996094
81,82,10,7.557868957519531e-05
82,83,10,7.2479248046875e-05
83,84,10,7.867813110351562e-05
84,85,10,7.557868957519531e-05
85,86,10,7.128715515136719e-05
86,87,10,8.106231689453125e-05
87,88,10,7.915496826171875e-05
88,89,10,9.036064147949219e-05
89,90,10,7.796287536621094e-05
90,91,10,8.392333984375e-05
91,92,10,6.818771362304688e-05
92,93,10,8.249282836914062e-05
93,94,10,7.271766662597656e-05
94,95,10,7.128715515136719e-05
95,96,10,8.678436279296875e-05
96,97,10,6.985664367675781e-05
97,98,10,7.152557373046875e-05
98,99,10,6.914138793945312e-05
99,1,20,0.00017118453979492188
100,2,20,0.0001392364501953125
101,3,20,0.0001609325408935547
102,4,20,0.00016236305236816406
103,5,20,0.0001239776611328125
104,6,20,0.00015616416931152344
105,7,20,0.0001456737518310547
106,8,20,0.00012969970703125
107,9,20,0.00012350082397460938
108,10,20,0.0001220703125
109,11,20,0.00012087821960449219
110,12,20,0.0001266002655029297
111,13,20,0.00011205673217773438
112,14,20,0.00010418891906738281
113,15,20,0.00019979476928710938
114,16,20,0.00013256072998046875
115,17,20,0.00011277198791503906
116,18,20,0.00010967254638671875
117,19,20,0.00012612342834472656
118,20,20,0.00014495849609375
119,21,20,0.0001347064971923828
120,22,20,0.0001232624053955078
121,23,20,0.00011301040649414062
122,24,20,0.00011229515075683594
123,25,20,9.560585021972656e-05
124,26,20,0.00011372566223144531
125,27,20,0.00012087821960449219
126,28,20,0.00010085105895996094
127,29,20,0.00011706352233886719
128,30,20,0.00013518333435058594
129,31,20,0.00013184547424316406
130,32,20,0.00015020370483398438
131,33,20,0.00014925003051757812
132,34,20,0.00012731552124023438
133,35,20,0.00011515617370605469
134,36,20,0.0001270771026611328
135,37,20,9.489059448242188e-05
136,38,20,9.202957153320312e-05
137,39,20,0.00011658668518066406
138,40,20,0.00012993812561035156
139,41,20,0.00010156631469726562
140,42,20,9.5367431640625e-05
141,43,20,9.822845458984375e-05
142,44,20,0.00010371208190917969
143,45,20,0.00010752677917480469
144,46,20,0.00010395050048828125
145,47,20,0.00013875961303710938
146,48,20,9.72747802734375e-05
147,49,20,0.00011134147644042969
148,50,20,8.320808410644531e-05
149,51,20,0.00010085105895996094
150,52,20,8.392333984375e-05
151,53,20,9.703636169433594e-05
152,54,20,9.131431579589844e-05
153,55,20,0.00010561943054199219
154,56,20,0.00010561943054199219
155,57,20,9.465217590332031e-05
156,58,20,9.274482727050781e-05
157,59,20,8.20159912109375e-05
158,60,20,9.846687316894531e-05
159,61,20,9.274482727050781e-05
160,62,20,9.751319885253906e-05
161,63,20,0.00010251998901367188
162,64,20,9.226799011230469e-05
163,65,20,7.605552673339844e-05
164,66,20,0.00012683868408203125
165,67,20,0.00010013580322265625
166,68,20,8.058547973632812e-05
167,69,20,9.608268737792969e-05
168,70,20,8.821487426757812e-05
169,71,20,0.00010323524475097656
170,72,20,8.988380432128906e-05
171,73,20,9.1552734375e-05
172,74,20,8.368492126464844e-05
173,75,20,9.751319885253906e-05
174,76,20,8.296966552734375e-05
175,77,20,7.891654968261719e-05
176,78,20,9.584426879882812e-05
177,79,20,0.00011754035949707031
178,80,20,0.00010013580322265625
179,81,20,0.00012493133544921875
180,82,20,9.322166442871094e-05
181,83,20,8.749961853027344e-05
182,84,20,9.608268737792969e-05
183,85,20,9.107589721679688e-05
184,86,20,8.726119995117188e-05
185,87,20,8.988380432128906e-05
186,88,20,8.416175842285156e-05
187,89,20,8.130073547363281e-05
188,90,20,8.940696716308594e-05
189,91,20,8.320808410644531e-05
190,92,20,7.867813110351562e-05
191,93,20,8.96453857421875e-05
192,94,20,8.845329284667969e-05
193,95,20,7.963180541992188e-05
194,96,20,9.226799011230469e-05
195,97,20,8.797645568847656e-05
196,98,20,9.059906005859375e-05
197,99,20,8.797645568847656e-05
198,1,30,0.00028252601623535156
199,2,30,0.00020885467529296875
200,3,30,0.0002079010009765625
201,4,30,0.00023221969604492188
202,5,30,0.00021767616271972656
203,6,30,0.0002608299255371094
204,7,30,0.00024819374084472656
205,8,30,0.00021028518676757812
206,9,30,0.00023603439331054688
207,10,30,0.00013375282287597656
208,11,30,0.0002048015594482422
209,12,30,0.00018787384033203125
210,13,30,0.00023126602172851562
211,14,30,0.0001742839813232422
212,15,30,0.000186920166015625
213,16,30,0.00020837783813476562
214,17,30,0.0001366138458251953
215,18,30,0.00022029876708984375
216,19,30,0.00016236305236816406
217,20,30,0.00017642974853515625
218,21,30,0.00015282630920410156
219,22,30,0.0001583099365234375
220,23,30,0.00015354156494140625
221,24,30,0.00026154518127441406
222,25,30,0.00015091896057128906
223,26,30,0.0001533031463623047
224,27,30,0.0001456737518310547
225,28,30,0.0002493858337402344
226,29,30,0.00017452239990234375
227,30,30,0.00019550323486328125
228,31,30,0.00021696090698242188
229,32,30,0.00012087821960449219
230,33,30,0.0001571178436279297
231,34,30,0.0001373291015625
232,35,30,0.00014281272888183594
233,36,30,0.00012922286987304688
234,37,30,0.00012135505676269531
235,38,30,0.00011205673217773438
236,39,30,0.00013828277587890625
237,40,30,0.00021457672119140625
238,41,30,0.0001430511474609375
239,42,30,0.000202178955078125
240,43,30,0.0001316070556640625
241,44,30,0.000125885009765625
242,45,30,0.00020122528076171875
243,46,30,0.0001399517059326172
244,47,30,0.00013184547424316406
245,48,30,0.00013208389282226562
246,49,30,0.00012063980102539062
247,50,30,0.00011658668518066406
248,51,30,0.00010752677917480469
249,52,30,0.0001671314239501953
250,53,30,0.00012540817260742188
251,54,30,0.00014925003051757812
252,55,30,0.00015664100646972656
253,56,30,0.00011801719665527344
254,57,30,0.00010013580322265625
255,58,30,9.608268737792969e-05
256,59,30,0.00011992454528808594
257,60,30,0.00015997886657714844
258,61,30,0.00013327598571777344
259,62,30,9.894371032714844e-05
260,63,30,9.846687316894531e-05
261,64,30,0.00010442733764648438
262,65,30,9.751319885253906e-05
263,66,30,0.00010180473327636719
264,67,30,9.012222290039062e-05
265,68,30,9.465217590332031e-05
266,69,30,0.0001010894775390625
267,70,30,8.320808410644531e-05
268,71,30,9.775161743164062e-05
269,72,30,0.00011110305786132812
270,73,30,9.655952453613281e-05
271,74,30,0.00011754035949707031
272,75,30,9.417533874511719e-05
273,76,30,9.584426879882812e-05
274,77,30,9.298324584960938e-05
275,78,30,0.000110626220703125
276,79,30,0.00011157989501953125
277,80,30,0.00010967254638671875
278,81,30,0.00010323524475097656
279,82,30,0.00010561943054199219
280,83,30,9.751319885253906e-05
281,84,30,0.00010466575622558594
282,85,30,0.00010275840759277344
283,86,30,9.799003601074219e-05
284,87,30,0.00011277198791503906
285,88,30,0.0001163482666015625
286,89,30,0.00010180473327636719
287,90,30,0.00010132789611816406
288,91,30,8.511543273925781e-05
289,92,30,8.058547973632812e-05
290,93,30,0.00012230873107910156
291,94,30,0.0001010894775390625
292,95,30,9.775161743164062e-05
293,96,30,0.00010204315185546875
294,97,30,0.00010132789611816406
295,98,30,8.749961853027344e-05
296,99,30,0.00010037422180175781
297,1,40,0.00042128562927246094
298,2,40,0.0003039836883544922
299,3,40,0.00030684471130371094
300,4,40,0.00030422210693359375
301,5,40,0.0002624988555908203
302,6,40,0.0003097057342529297
303,7,40,0.000217437744140625
304,8,40,0.00021028518676757812
305,9,40,0.00026726722717285156
306,10,40,0.0003268718719482422
307,11,40,0.00022077560424804688
308,12,40,0.00030303001403808594
309,13,40,0.00031185150146484375
310,14,40,0.00023102760314941406
311,15,40,0.00022840499877929688
312,16,40,0.00021338462829589844
313,17,40,0.00016164779663085938
314,18,40,0.00022602081298828125
315,19,40,0.00017213821411132812
316,20,40,0.0001747608184814453
317,21,40,0.0002720355987548828
318,22,40,0.00017976760864257812
319,23,40,0.00015473365783691406
320,24,40,0.0002396106719970703
321,25,40,0.00022554397583007812
322,26,40,0.00028014183044433594
323,27,40,0.00017690658569335938
324,28,40,0.0002288818359375
325,29,40,0.00016617774963378906
326,30,40,0.00013756752014160156
327,31,40,0.00020241737365722656
328,32,40,0.00017404556274414062
329,33,40,0.00017690658569335938
330,34,40,0.0001990795135498047
331,35,40,0.00016880035400390625
332,36,40,0.0001518726348876953
333,37,40,0.00014472007751464844
334,38,40,0.00018787384033203125
335,39,40,0.00016188621520996094
336,40,40,0.0001537799835205078
337,41,40,0.00012946128845214844
338,42,40,0.00020122528076171875
339,43,40,0.00014090538024902344
340,44,40,0.0002028942108154297
341,45,40,0.0001392364501953125
342,46,40,0.0001308917999267578
343,47,40,0.00013327598571777344
344,48,40,0.0001800060272216797
345,49,40,0.0001506805419921875
346,50,40,0.00011777877807617188
347,51,40,0.0001747608184814453
348,52,40,0.00016641616821289062
349,53,40,0.0001468658447265625
350,54,40,0.00020074844360351562
351,55,40,0.00017499923706054688
352,56,40,0.00019741058349609375
353,57,40,0.00020694732666015625
354,58,40,0.00019788742065429688
355,59,40,0.0001442432403564453
356,60,40,0.0001590251922607422
357,61,40,0.00015211105346679688
358,62,40,0.0001704692840576172
359,63,40,0.000141143798828125
360,64,40,0.00018715858459472656
361,65,40,0.00016164779663085938
362,66,40,0.00019097328186035156
363,67,40,0.0001575946807861328
364,68,40,0.0001583099365234375
365,69,40,0.00012922286987304688
366,70,40,0.00014853477478027344
367,71,40,0.0001666545867919922
368,72,40,0.00012612342834472656
369,73,40,0.00012445449829101562
370,74,40,0.00012612342834472656
371,75,40,0.0001399517059326172
372,76,40,0.00011086463928222656
373,77,40,0.0001304149627685547
374,78,40,0.00011944770812988281
375,79,40,0.0001399517059326172
376,80,40,0.00016617774963378906
377,81,40,0.0001838207244873047
378,82,40,0.00019860267639160156
379,83,40,0.00025463104248046875
380,84,40,0.0002110004425048828
381,85,40,0.00014257431030273438
382,86,40,0.00012946128845214844
383,87,40,0.0001347064971923828
384,88,40,0.00012946128845214844
385,89,40,0.00012087821960449219
386,90,40,0.00012540817260742188
387,91,40,0.00010967254638671875
388,92,40,9.012222290039062e-05
389,93,40,0.00012135505676269531
390,94,40,0.0001220703125
391,95,40,0.00011801719665527344
392,96,40,0.000102996826171875
393,97,40,0.00011157989501953125
394,98,40,0.00011587142944335938
395,99,40,0.00010800361633300781
396,1,50,0.0003838539123535156
397,2,50,0.00030994415283203125
398,3,50,0.0003304481506347656
399,4,50,0.0003039836883544922
400,5,50,0.00027942657470703125
401,6,50,0.00035500526428222656
402,7,50,0.0003204345703125
403,8,50,0.00025391578674316406
404,9,50,0.0002880096435546875
405,10,50,0.00025534629821777344
406,11,50,0.0003390312194824219
407,12,50,0.0002849102020263672
408,13,50,0.00024628639221191406
409,14,50,0.00030541419982910156
410,15,50,0.0003669261932373047
411,16,50,0.00032973289489746094
412,17,50,0.0003132820129394531
413,18,50,0.00026488304138183594
414,19,50,0.0003142356872558594
415,20,50,0.00027680397033691406
