,l_xy,n_pts,time
0,1,10,1.0010404586791992
1,1,20,0.0002751350402832031
2,1,30,0.0004897117614746094
3,1,40,0.0008943080902099609
4,1,50,0.0010020732879638672
5,1,60,0.0017151832580566406
6,1,70,0.0026273727416992188
7,1,80,0.0032448768615722656
8,1,90,0.003953695297241211
9,1,100,0.0055162906646728516
10,1,110,0.00688481330871582
11,1,120,0.008241653442382812
12,1,130,0.00928640365600586
13,1,140,0.01116943359375
14,1,150,0.012091398239135742
15,1,160,0.01252889633178711
16,1,170,0.014890432357788086
17,1,180,0.015712499618530273
18,1,190,0.01669597625732422
19,1,200,0.017337560653686523
20,1,210,0.01717066764831543
21,1,220,0.02045607566833496
22,1,230,0.0199739933013916
23,1,240,0.02047133445739746
24,1,250,0.020609140396118164
25,1,260,0.020908832550048828
26,1,270,0.023558855056762695
27,1,280,0.02647256851196289
28,1,290,0.026616334915161133
29,1,300,0.027898073196411133
30,1,310,0.027373313903808594
31,1,320,0.0294954776763916
32,1,330,0.0323636531829834
33,1,340,0.03552079200744629
34,1,350,0.037207841873168945
35,1,360,0.03849387168884277
36,1,370,0.04048347473144531
37,1,380,0.04432559013366699
38,1,390,0.04511117935180664
39,1,400,0.04581856727600098
40,1,410,0.05138134956359863
41,1,420,0.05396389961242676
42,1,430,0.05645179748535156
43,1,440,0.05135345458984375
44,1,450,0.05029463768005371
45,1,460,0.0528261661529541
46,1,470,0.05491447448730469
47,1,480,0.057592153549194336
48,1,490,0.05980682373046875
49,1,500,0.06240725517272949
50,1,510,0.06478548049926758
51,1,520,0.06737518310546875
52,1,530,0.06992864608764648
53,1,540,0.07247018814086914
54,1,550,0.07474803924560547
55,1,560,0.07978034019470215
56,1,570,0.08033227920532227
57,1,580,0.10595178604125977
58,1,590,0.08653831481933594
59,1,600,0.08906388282775879
60,1,610,0.09189891815185547
61,1,620,0.09547805786132812
62,1,630,0.09841132164001465
63,1,640,0.10124635696411133
64,1,650,0.10436058044433594
65,1,660,0.10804891586303711
66,1,670,0.1106727123260498
67,1,680,0.11427927017211914
68,1,690,0.11771988868713379
69,1,700,0.12088465690612793
70,1,710,0.12431669235229492
71,1,720,0.12790560722351074
72,1,730,0.13027739524841309
73,1,740,0.13483953475952148
74,1,750,0.1384272575378418
75,1,760,0.1419086456298828
76,1,770,0.1458418369293213
77,1,780,0.1489725112915039
78,1,790,0.15290403366088867
79,1,800,0.1574547290802002
80,1,810,0.16096925735473633
81,1,820,0.16432714462280273
82,1,830,0.16796135902404785
83,1,840,0.1725902557373047
84,1,850,0.17732858657836914
85,1,860,0.1808023452758789
86,1,870,0.18476390838623047
87,1,880,0.19109272956848145
88,1,890,0.19367241859436035
89,1,900,0.1982707977294922
90,1,910,0.20214366912841797
91,1,920,0.20693230628967285
92,1,930,0.2104339599609375
93,1,940,0.21529269218444824
94,1,950,0.22051477432250977
95,1,960,0.2253105640411377
96,1,970,0.2290036678314209
97,1,980,0.2341001033782959
98,1,990,0.2396535873413086
99,1,1000,0.24417853355407715
100,1,1010,0.24805402755737305
101,1,1020,0.25357794761657715
102,1,1030,0.25818848609924316
103,1,1040,0.2638380527496338
104,1,1050,0.2684648036956787
105,1,1060,0.2731666564941406
106,1,1070,0.2778141498565674
107,1,1080,0.28467392921447754
108,1,1090,0.2897658348083496
109,1,1100,0.2949204444885254
110,1,1110,0.29959702491760254
111,1,1120,0.3046281337738037
112,1,1130,0.31038856506347656
113,1,1140,0.3165421485900879
114,1,1150,0.320892333984375
115,1,1160,0.327423095703125
116,1,1170,0.3325614929199219
117,1,1180,0.33964085578918457
118,1,1190,0.3437373638153076
119,1,1200,0.3502025604248047
120,1,1210,0.3548305034637451
121,1,1220,0.3617591857910156
122,1,1230,0.3667609691619873
123,1,1240,0.3731400966644287
124,1,1250,0.37978506088256836
125,1,1260,0.38516926765441895
126,1,1270,0.3911268711090088
127,1,1280,0.3986637592315674
128,1,1290,0.4024693965911865
129,1,1300,0.41087961196899414
130,1,1310,0.41636180877685547
131,1,1320,0.4238893985748291
132,1,1330,0.42830967903137207
133,1,1340,0.4350297451019287
134,1,1350,0.44086456298828125
135,1,1360,0.44797372817993164
136,1,1370,0.454453706741333
137,1,1380,0.4609036445617676
138,1,1390,0.4666726589202881
139,1,1400,0.4745781421661377
140,1,1410,0.4806838035583496
141,1,1420,0.48876309394836426
142,1,1430,0.49424076080322266
143,1,1440,0.5016672611236572
144,1,1450,0.5095925331115723
145,1,1460,0.5155220031738281
146,1,1470,0.5226120948791504
147,1,1480,0.5289154052734375
148,1,1490,0.5363402366638184
