,l_xy,n_pts,time
0,1,10,0.9985523223876953
1,2,10,0.0001404285430908203
2,3,10,7.963180541992188e-05
3,4,10,8.296966552734375e-05
4,5,10,6.29425048828125e-05
5,6,10,6.985664367675781e-05
6,7,10,6.0558319091796875e-05
7,8,10,4.76837158203125e-05
8,9,10,5.459785461425781e-05
9,10,10,4.9114227294921875e-05
10,11,10,4.38690185546875e-05
11,12,10,4.363059997558594e-05
12,13,10,4.076957702636719e-05
13,14,10,4.3392181396484375e-05
14,15,10,3.838539123535156e-05
15,16,10,3.314018249511719e-05
16,17,10,3.4809112548828125e-05
17,18,10,3.552436828613281e-05
18,19,10,3.4332275390625e-05
19,20,10,4.172325134277344e-05
20,21,10,3.075599670410156e-05
21,22,10,3.3855438232421875e-05
22,23,10,3.981590270996094e-05
23,24,10,3.123283386230469e-05
24,25,10,3.170967102050781e-05
25,26,10,3.8623809814453125e-05
26,27,10,2.7418136596679688e-05
27,28,10,2.7894973754882812e-05
28,29,10,2.765655517578125e-05
29,30,10,3.361701965332031e-05
30,31,10,2.86102294921875e-05
31,32,10,3.0279159545898438e-05
32,33,10,3.147125244140625e-05
33,34,10,2.956390380859375e-05
34,35,10,2.9325485229492188e-05
35,36,10,2.9087066650390625e-05
36,37,10,2.6226043701171875e-05
37,38,10,3.0994415283203125e-05
38,39,10,2.6226043701171875e-05
39,40,10,2.765655517578125e-05
40,41,10,2.7894973754882812e-05
41,42,10,2.5272369384765625e-05
42,43,10,2.7894973754882812e-05
43,44,10,3.0040740966796875e-05
44,45,10,2.7179718017578125e-05
45,46,10,2.5510787963867188e-05
46,47,10,2.7894973754882812e-05
47,48,10,2.6226043701171875e-05
48,49,10,2.47955322265625e-05
49,50,10,2.6941299438476562e-05
50,51,10,2.5510787963867188e-05
51,52,10,2.5987625122070312e-05
52,53,10,2.3603439331054688e-05
53,54,10,2.384185791015625e-05
54,55,10,2.2172927856445312e-05
55,56,10,2.8848648071289062e-05
56,57,10,2.2172927856445312e-05
57,58,10,2.6226043701171875e-05
58,59,10,2.6702880859375e-05
59,60,10,2.5987625122070312e-05
60,61,10,2.288818359375e-05
61,62,10,2.8133392333984375e-05
62,63,10,2.5510787963867188e-05
63,64,10,2.6226043701171875e-05
64,65,10,2.765655517578125e-05
65,66,10,2.574920654296875e-05
66,67,10,2.2649765014648438e-05
67,68,10,2.6941299438476562e-05
68,69,10,2.3603439331054688e-05
69,70,10,2.5987625122070312e-05
70,71,10,2.3126602172851562e-05
71,72,10,2.3603439331054688e-05
72,73,10,2.1696090698242188e-05
73,74,10,2.6226043701171875e-05
74,75,10,2.193450927734375e-05
75,76,10,2.3126602172851562e-05
76,77,10,2.384185791015625e-05
77,78,10,2.6226043701171875e-05
78,79,10,2.5033950805664062e-05
79,80,10,2.384185791015625e-05
80,81,10,2.193450927734375e-05
81,82,10,2.5987625122070312e-05
82,83,10,2.574920654296875e-05
83,84,10,2.2649765014648438e-05
84,85,10,2.09808349609375e-05
85,86,10,2.384185791015625e-05
86,87,10,2.193450927734375e-05
87,88,10,2.2649765014648438e-05
88,89,10,2.2649765014648438e-05
89,90,10,2.2172927856445312e-05
90,91,10,2.1219253540039062e-05
91,92,10,2.574920654296875e-05
92,93,10,2.2172927856445312e-05
93,94,10,2.288818359375e-05
94,95,10,2.288818359375e-05
95,96,10,2.2411346435546875e-05
96,97,10,2.1219253540039062e-05
97,98,10,2.4080276489257812e-05
98,99,10,2.0265579223632812e-05
99,1,20,0.0004813671112060547
100,2,20,0.000347137451171875
101,3,20,0.0002791881561279297
102,4,20,0.0002052783966064453
103,5,20,0.0002090930938720703
104,6,20,0.0001881122589111328
105,7,20,0.00016689300537109375
106,8,20,0.00015044212341308594
107,9,20,0.00013709068298339844
108,10,20,0.00013399124145507812
109,11,20,0.00011467933654785156
110,12,20,0.00011324882507324219
111,13,20,0.00011110305786132812
112,14,20,0.00012636184692382812
113,15,20,0.00011539459228515625
114,16,20,0.00011205673217773438
115,17,20,9.059906005859375e-05
116,18,20,9.72747802734375e-05
117,19,20,9.226799011230469e-05
118,20,20,8.821487426757812e-05
119,21,20,8.630752563476562e-05
120,22,20,8.368492126464844e-05
121,23,20,8.20159912109375e-05
122,24,20,7.343292236328125e-05
123,25,20,8.249282836914062e-05
124,26,20,8.940696716308594e-05
125,27,20,8.416175842285156e-05
126,28,20,7.343292236328125e-05
127,29,20,8.678436279296875e-05
128,30,20,7.486343383789062e-05
129,31,20,8.153915405273438e-05
130,32,20,8.344650268554688e-05
131,33,20,6.985664367675781e-05
132,34,20,6.67572021484375e-05
133,35,20,7.43865966796875e-05
134,36,20,6.628036499023438e-05
135,37,20,6.580352783203125e-05
136,38,20,6.151199340820312e-05
137,39,20,6.29425048828125e-05
138,40,20,6.246566772460938e-05
139,41,20,6.771087646484375e-05
140,42,20,6.532669067382812e-05
141,43,20,6.890296936035156e-05
142,44,20,6.151199340820312e-05
143,45,20,5.650520324707031e-05
144,46,20,5.936622619628906e-05
145,47,20,6.651878356933594e-05
146,48,20,5.936622619628906e-05
147,49,20,5.7220458984375e-05
148,50,20,6.222724914550781e-05
149,51,20,5.269050598144531e-05
150,52,20,5.316734313964844e-05
151,53,20,6.127357482910156e-05
152,54,20,5.340576171875e-05
153,55,20,5.555152893066406e-05
154,56,20,5.078315734863281e-05
155,57,20,5.412101745605469e-05
156,58,20,5.745887756347656e-05
157,59,20,4.76837158203125e-05
158,60,20,4.291534423828125e-05
159,61,20,4.744529724121094e-05
160,62,20,5.173683166503906e-05
161,63,20,5.507469177246094e-05
162,64,20,4.863739013671875e-05
163,65,20,5.435943603515625e-05
164,66,20,5.14984130859375e-05
