,l_xy,n_pts,time
0,1,10,0.8424098491668701
1,2,10,7.82012939453125e-05
2,3,10,6.127357482910156e-05
3,4,10,0.0049591064453125
4,5,10,6.4849853515625e-05
5,6,10,6.008148193359375e-05
6,7,10,4.887580871582031e-05
7,8,10,4.1961669921875e-05
8,9,10,3.719329833984375e-05
9,10,10,3.409385681152344e-05
10,11,10,3.1948089599609375e-05
11,12,10,6.29425048828125e-05
12,13,10,6.818771362304688e-05
13,14,10,4.315376281738281e-05
14,15,10,6.389617919921875e-05
15,16,10,3.695487976074219e-05
16,17,10,3.3855438232421875e-05
17,18,10,3.314018249511719e-05
18,19,10,3.314018249511719e-05
19,20,10,6.175041198730469e-05
20,21,10,3.1948089599609375e-05
21,22,10,2.7894973754882812e-05
22,23,10,5.1975250244140625e-05
23,24,10,2.7179718017578125e-05
24,25,10,2.6941299438476562e-05
25,26,10,2.7179718017578125e-05
26,27,10,2.3126602172851562e-05
27,28,10,3.3855438232421875e-05
28,29,10,1.9073486328125e-05
29,30,10,2.5033950805664062e-05
30,31,10,2.4080276489257812e-05
31,32,10,2.193450927734375e-05
32,33,10,2.8133392333984375e-05
33,34,10,2.2172927856445312e-05
34,35,10,2.002716064453125e-05
35,36,10,2.8848648071289062e-05
36,37,10,1.9788742065429688e-05
37,38,10,2.09808349609375e-05
38,39,10,2.7894973754882812e-05
39,40,10,2.193450927734375e-05
40,41,10,2.6702880859375e-05
41,42,10,3.0040740966796875e-05
42,43,10,2.7894973754882812e-05
43,44,10,2.5987625122070312e-05
44,45,10,4.1961669921875e-05
45,46,10,5.3882598876953125e-05
46,47,10,2.193450927734375e-05
47,48,10,2.384185791015625e-05
48,49,10,2.3126602172851562e-05
49,50,10,2.4080276489257812e-05
50,51,10,4.315376281738281e-05
51,52,10,2.5033950805664062e-05
52,53,10,1.9073486328125e-05
53,54,10,2.002716064453125e-05
54,55,10,2.9087066650390625e-05
55,56,10,1.9788742065429688e-05
56,57,10,2.4080276489257812e-05
57,58,10,2.384185791015625e-05
58,59,10,1.9073486328125e-05
59,60,10,1.7881393432617188e-05
60,61,10,2.4080276489257812e-05
61,62,10,2.5033950805664062e-05
62,63,10,2.002716064453125e-05
63,64,10,2.2172927856445312e-05
64,65,10,2.09808349609375e-05
65,66,10,2.002716064453125e-05
66,67,10,2.4080276489257812e-05
67,68,10,2.2172927856445312e-05
68,69,10,2.09808349609375e-05
69,70,10,5.3882598876953125e-05
70,71,10,2.002716064453125e-05
71,72,10,3.2901763916015625e-05
72,73,10,1.8835067749023438e-05
73,74,10,1.71661376953125e-05
74,75,10,1.9073486328125e-05
75,76,10,1.6927719116210938e-05
76,77,10,1.71661376953125e-05
77,78,10,1.811981201171875e-05
78,79,10,1.8835067749023438e-05
