,l_xy,n_pts,time
0,1,10,460.62896728515625
1,2,10,0.14131200313568115
2,3,10,0.12185599654912949
3,4,10,0.11673600226640701
4,5,10,0.11161600053310394
5,6,10,0.11161600053310394
6,7,10,0.11468800157308578
7,8,10,0.1157120019197464
8,9,10,0.10649599879980087
9,10,10,0.10342399775981903
10,11,10,0.10342399775981903
11,12,10,0.11161600053310394
12,13,10,0.10444799810647964
13,14,10,0.10444799810647964
14,15,10,0.10547199845314026
15,16,10,0.10547199845314026
16,17,10,0.10547199845314026
17,18,10,0.10649599879980087
18,19,10,0.10649599879980087
19,20,10,0.10547199845314026
20,21,10,0.10649599879980087
21,22,10,0.10239999741315842
22,23,10,0.11161600053310394
23,24,10,0.1085439994931221
24,25,10,0.10751999914646149
25,26,10,0.14233599603176117
26,27,10,0.10649599879980087
27,28,10,0.10547199845314026
28,29,10,0.10444799810647964
29,30,10,0.10547199845314026
30,31,10,0.10547199845314026
31,32,10,0.10547199845314026
32,33,10,0.10342399775981903
33,34,10,0.11161600053310394
34,35,10,0.10751999914646149
35,36,10,0.10444799810647964
36,37,10,0.10239999741315842
37,38,10,0.10342399775981903
38,39,10,0.10444799810647964
39,40,10,0.10547199845314026
40,41,10,0.10444799810647964
41,42,10,0.10547199845314026
42,43,10,0.10342399775981903
43,44,10,0.10444799810647964
44,45,10,0.11161600053310394
45,46,10,0.10649599879980087
46,47,10,0.10649599879980087
47,48,10,0.10444799810647964
48,49,10,0.10547199845314026
49,50,10,0.10342399775981903
50,51,10,0.10547199845314026
51,52,10,0.10342399775981903
52,53,10,0.10444799810647964
53,54,10,0.10444799810647964
54,55,10,0.10547199845314026
55,56,10,0.11059200018644333
56,57,10,0.10649599879980087
57,58,10,0.10342399775981903
58,59,10,0.10649599879980087
59,60,10,0.10751999914646149
60,61,10,0.10547199845314026
61,62,10,0.10444799810647964
62,63,10,0.10342399775981903
63,64,10,0.10547199845314026
64,65,10,0.10649599879980087
65,66,10,0.10444799810647964
66,67,10,0.11161600053310394
67,68,10,0.10649599879980087
68,69,10,0.10547199845314026
69,70,10,0.10342399775981903
70,71,10,0.13926400244235992
71,72,10,0.10547199845314026
72,73,10,0.10444799810647964
73,74,10,0.10649599879980087
74,75,10,0.10649599879980087
75,76,10,0.10444799810647964
76,77,10,0.10342399775981903
77,78,10,0.10956799983978271
78,79,10,0.10444799810647964
79,80,10,0.10444799810647964
80,81,10,0.10649599879980087
81,82,10,0.10342399775981903
82,83,10,0.10342399775981903
83,84,10,0.10547199845314026
84,85,10,0.10342399775981903
85,86,10,0.10444799810647964
86,87,10,0.10444799810647964
87,88,10,0.10547199845314026
88,89,10,0.11059200018644333
89,90,10,0.10649599879980087
90,91,10,0.10547199845314026
91,92,10,0.10444799810647964
92,93,10,0.10751999914646149
93,94,10,0.10547199845314026
94,95,10,0.10751999914646149
95,96,10,0.10444799810647964
96,97,10,0.10547199845314026
97,98,10,0.10547199845314026
98,99,10,0.10547199845314026
99,1,20,0.24368000030517578
100,2,20,0.10547199845314026
101,3,20,0.10547199845314026
102,4,20,0.10444799810647964
103,5,20,0.10547199845314026
104,6,20,0.10547199845314026
105,7,20,0.10444799810647964
106,8,20,0.10239999741315842
107,9,20,0.10342399775981903
108,10,20,0.10342399775981903
109,11,20,0.10547199845314026
110,12,20,0.10956799983978271
111,13,20,0.10444799810647964
112,14,20,0.10547199845314026
113,15,20,0.10649599879980087
114,16,20,0.14643199741840363
115,17,20,0.1085439994931221
116,18,20,0.10547199845314026
117,19,20,0.10547199845314026
118,20,20,0.10649599879980087
119,21,20,0.10444799810647964
120,22,20,0.10342399775981903
121,23,20,0.11264000087976456
122,24,20,0.10751999914646149
123,25,20,0.10342399775981903
124,26,20,0.10342399775981903
125,27,20,0.10547199845314026
126,28,20,0.10649599879980087
127,29,20,0.1085439994931221
128,30,20,0.10547199845314026
129,31,20,0.10342399775981903
130,32,20,0.10444799810647964
131,33,20,0.10342399775981903
132,34,20,0.11059200018644333
133,35,20,0.10444799810647964
134,36,20,0.10342399775981903
135,37,20,0.10547199845314026
136,38,20,0.10444799810647964
137,39,20,0.10444799810647964
138,40,20,0.10547199845314026
139,41,20,0.10547199845314026
140,42,20,0.10444799810647964
141,43,20,0.10444799810647964
142,44,20,0.10547199845314026
143,45,20,0.11161600053310394
144,46,20,0.10751999914646149
145,47,20,0.10444799810647964
146,48,20,0.10547199845314026
147,49,20,0.10444799810647964
148,50,20,0.10342399775981903
149,51,20,0.10547199845314026
150,52,20,0.10342399775981903
151,53,20,0.10239999741315842
152,54,20,0.10751999914646149
153,55,20,0.10342399775981903
154,56,20,0.11264000087976456
155,57,20,0.10751999914646149
156,58,20,0.10444799810647964
157,59,20,0.10342399775981903
158,60,20,0.10649599879980087
159,61,20,0.10342399775981903
160,62,20,0.10444799810647964
161,63,20,0.10547199845314026
162,64,20,0.10444799810647964
163,65,20,0.10342399775981903
164,66,20,0.10444799810647964
165,67,20,0.11059200018644333
166,68,20,0.10649599879980087
167,69,20,0.10547199845314026
168,70,20,0.1085439994931221
169,71,20,0.10444799810647964
170,72,20,0.10444799810647964
171,73,20,0.10444799810647964
172,74,20,0.10444799810647964
173,75,20,0.10547199845314026
174,76,20,0.10342399775981903
175,77,20,0.10547199845314026
176,78,20,0.11059200018644333
177,79,20,0.10649599879980087
178,80,20,0.10547199845314026
179,81,20,0.10444799810647964
180,82,20,0.10649599879980087
181,83,20,0.10444799810647964
182,84,20,0.10444799810647964
183,85,20,0.10444799810647964
184,86,20,0.10649599879980087
185,87,20,0.10444799810647964
186,88,20,0.10547199845314026
187,89,20,0.10956799983978271
188,90,20,0.10751999914646149
189,91,20,0.10547199845314026
190,92,20,0.10547199845314026
191,93,20,0.10444799810647964
192,94,20,0.10649599879980087
193,95,20,0.10547199845314026
194,96,20,0.10547199845314026
195,97,20,0.10547199845314026
196,98,20,0.10342399775981903
197,99,20,0.11776000261306763
198,1,30,0.11161600053310394
199,2,30,0.10547199845314026
200,3,30,0.10342399775981903
201,4,30,0.10547199845314026
202,5,30,0.10342399775981903
203,6,30,0.10444799810647964
204,7,30,0.10649599879980087
205,8,30,0.10444799810647964
206,9,30,0.10547199845314026
207,10,30,0.10547199845314026
208,11,30,0.10444799810647964
209,12,30,0.10956799983978271
210,13,30,0.10649599879980087
211,14,30,0.1157120019197464
212,15,30,0.10444799810647964
213,16,30,0.10444799810647964
214,17,30,0.10444799810647964
215,18,30,0.10547199845314026
216,19,30,0.10444799810647964
217,20,30,0.10342399775981903
218,21,30,0.10444799810647964
219,22,30,0.10444799810647964
220,23,30,0.10956799983978271
221,24,30,0.10649599879980087
222,25,30,0.10547199845314026
223,26,30,0.10444799810647964
224,27,30,0.10444799810647964
225,28,30,0.10547199845314026
226,29,30,0.10444799810647964
227,30,30,0.10547199845314026
228,31,30,0.10239999741315842
229,32,30,0.10547199845314026
230,33,30,0.10342399775981903
231,34,30,0.11161600053310394
232,35,30,0.10649599879980087
233,36,30,0.10547199845314026
234,37,30,0.10444799810647964
235,38,30,0.10342399775981903
236,39,30,0.10956799983978271
237,40,30,0.1085439994931221
238,41,30,0.1085439994931221
239,42,30,0.11161600053310394
240,43,30,0.10956799983978271
241,44,30,0.10751999914646149
242,45,30,0.11366400122642517
243,46,30,0.11161600053310394
244,47,30,0.1085439994931221
245,48,30,0.10751999914646149
246,49,30,0.1085439994931221
247,50,30,0.12083200365304947
248,51,30,0.11161600053310394
249,52,30,0.10956799983978271
250,53,30,0.1085439994931221
251,54,30,0.1085439994931221
252,55,30,0.10751999914646149
253,56,30,0.1157120019197464
254,57,30,0.11161600053310394
255,58,30,0.1085439994931221
256,59,30,0.10751999914646149
257,60,30,0.1085439994931221
258,61,30,0.10956799983978271
259,62,30,0.10956799983978271
260,63,30,0.10956799983978271
261,64,30,0.11161600053310394
262,65,30,0.1085439994931221
263,66,30,0.10956799983978271
264,67,30,0.1157120019197464
265,68,30,0.11059200018644333
266,69,30,0.1085439994931221
267,70,30,0.10649599879980087
268,71,30,0.10956799983978271
269,72,30,0.11059200018644333
270,73,30,0.1085439994931221
271,74,30,0.11059200018644333
272,75,30,0.1085439994931221
273,76,30,0.10956799983978271
274,77,30,0.1085439994931221
275,78,30,0.11161600053310394
276,79,30,0.10444799810647964
277,80,30,0.10444799810647964
278,81,30,0.10547199845314026
279,82,30,0.10547199845314026
280,83,30,0.10547199845314026
281,84,30,0.10649599879980087
282,85,30,0.10547199845314026
283,86,30,0.10649599879980087
284,87,30,0.10444799810647964
285,88,30,0.10342399775981903
286,89,30,0.10956799983978271
287,90,30,0.10444799810647964
288,91,30,0.10444799810647964
289,92,30,0.10547199845314026
290,93,30,0.10444799810647964
291,94,30,0.10547199845314026
292,95,30,0.10547199845314026
293,96,30,0.10444799810647964
294,97,30,0.10444799810647964
295,98,30,0.10444799810647964
296,99,30,0.10444799810647964
297,1,40,0.2170879989862442
298,2,40,0.1085439994931221
299,3,40,0.10444799810647964
300,4,40,0.10751999914646149
301,5,40,0.10547199845314026
302,6,40,0.10342399775981903
303,7,40,0.10547199845314026
304,8,40,0.10342399775981903
305,9,40,0.10444799810647964
306,10,40,0.10547199845314026
307,11,40,0.10444799810647964
308,12,40,0.11161600053310394
309,13,40,0.10751999914646149
310,14,40,0.10547199845314026
311,15,40,0.10444799810647964
312,16,40,0.10342399775981903
313,17,40,0.10239999741315842
314,18,40,0.10547199845314026
315,19,40,0.10444799810647964
316,20,40,0.10547199845314026
317,21,40,0.10342399775981903
318,22,40,0.10444799810647964
319,23,40,0.11264000087976456
320,24,40,0.10649599879980087
321,25,40,0.10547199845314026
322,26,40,0.10547199845314026
323,27,40,0.10547199845314026
324,28,40,0.10444799810647964
325,29,40,0.10547199845314026
326,30,40,0.11059200018644333
327,31,40,0.1085439994931221
328,32,40,0.10956799983978271
329,33,40,0.1085439994931221
330,34,40,0.11059200018644333
331,35,40,0.10751999914646149
332,36,40,0.10444799810647964
333,37,40,0.10547199845314026
334,38,40,0.10342399775981903
