,l_xy,n_pts,time
0,1,10,0.004849910736083984
1,2,10,0.0028319358825683594
2,3,10,0.0018100738525390625
3,4,10,0.0016329288482666016
4,5,10,0.0014142990112304688
5,6,10,0.00140380859375
6,7,10,0.0012521743774414062
7,8,10,0.0010471343994140625
8,9,10,0.001001119613647461
9,10,10,0.0008590221405029297
10,11,10,0.0007538795471191406
11,12,10,0.0006880760192871094
12,13,10,0.0006759166717529297
13,14,10,0.0007441043853759766
14,15,10,0.0007321834564208984
15,16,10,0.0005519390106201172
16,17,10,0.0006248950958251953
17,18,10,0.0005681514739990234
18,19,10,0.0007319450378417969
19,20,10,0.0006847381591796875
20,21,10,0.0005190372467041016
21,22,10,0.0005068778991699219
22,23,10,0.0006239414215087891
23,24,10,0.0004410743713378906
24,25,10,0.0004799365997314453
25,26,10,0.0005419254302978516
26,27,10,0.00043082237243652344
27,28,10,0.0003800392150878906
28,29,10,0.00039505958557128906
29,30,10,0.0005011558532714844
30,31,10,0.0004673004150390625
31,32,10,0.0003879070281982422
32,33,10,0.0005891323089599609
33,34,10,0.00038695335388183594
34,35,10,0.0003879070281982422
35,36,10,0.00044274330139160156
36,37,10,0.0004069805145263672
37,38,10,0.00037407875061035156
38,39,10,0.0003731250762939453
39,40,10,0.00037097930908203125
40,41,10,0.0003731250762939453
41,42,10,0.000392913818359375
42,43,10,0.00041413307189941406
43,44,10,0.0003688335418701172
44,45,10,0.00037789344787597656
45,46,10,0.00037288665771484375
46,47,10,0.0003707408905029297
47,48,10,0.00033402442932128906
48,49,10,0.00033402442932128906
49,50,10,0.000331878662109375
50,51,10,0.0003337860107421875
51,52,10,0.0003330707550048828
52,53,10,0.00033402442932128906
53,54,10,0.00033402442932128906
54,55,10,0.0003368854522705078
55,56,10,0.0003452301025390625
56,57,10,0.00034308433532714844
57,58,10,0.0003437995910644531
58,59,10,0.00034499168395996094
59,60,10,0.0003440380096435547
60,61,10,0.0003337860107421875
61,62,10,0.000331878662109375
62,63,10,0.00033283233642578125
63,64,10,0.0004088878631591797
64,65,10,0.0004489421844482422
65,66,10,0.0003650188446044922
66,67,10,0.00035309791564941406
67,68,10,0.0003559589385986328
68,69,10,0.0003490447998046875
69,70,10,0.00034618377685546875
70,71,10,0.0003409385681152344
71,72,10,0.00034165382385253906
72,73,10,0.0003383159637451172
73,74,10,0.0003390312194824219
74,75,10,0.0003390312194824219
75,76,10,0.00033783912658691406
76,77,10,0.0003399848937988281
77,78,10,0.0003371238708496094
78,79,10,0.0003247261047363281
79,80,10,0.00032901763916015625
80,81,10,0.0003230571746826172
81,82,10,0.0003218650817871094
82,83,10,0.0003612041473388672
83,84,10,0.000331878662109375
84,85,10,0.0003139972686767578
85,86,10,0.00031375885009765625
86,87,10,0.0003142356872558594
87,88,10,0.0003001689910888672
88,89,10,0.0002989768981933594
89,90,10,0.00030112266540527344
90,91,10,0.00029397010803222656
91,92,10,0.0002932548522949219
92,93,10,0.00029397010803222656
93,94,10,0.0003478527069091797
94,95,10,0.0003139972686767578
95,96,10,0.0002760887145996094
96,97,10,0.0002779960632324219
97,98,10,0.0002779960632324219
98,99,10,0.00027680397033691406
99,1,20,0.010367870330810547
100,2,20,0.008142232894897461
101,3,20,0.007279872894287109
102,4,20,0.005995988845825195
103,5,20,0.005307912826538086
104,6,20,0.004802227020263672
105,7,20,0.003760099411010742
106,8,20,0.003593921661376953
107,9,20,0.0032110214233398438
108,10,20,0.0034418106079101562
109,11,20,0.0029418468475341797
110,12,20,0.0026597976684570312
111,13,20,0.0027408599853515625
112,14,20,0.0030357837677001953
113,15,20,0.002719879150390625
114,16,20,0.0026199817657470703
115,17,20,0.002225160598754883
116,18,20,0.002373218536376953
117,19,20,0.0022580623626708984
118,20,20,0.002177000045776367
119,21,20,0.0019719600677490234
120,22,20,0.0018968582153320312
121,23,20,0.0020170211791992188
122,24,20,0.0019078254699707031
123,25,20,0.0019109249114990234
124,26,20,0.0020210742950439453
125,27,20,0.0020911693572998047
126,28,20,0.001840829849243164
127,29,20,0.002146005630493164
128,30,20,0.0019199848175048828
129,31,20,0.0019071102142333984
130,32,20,0.001935720443725586
131,33,20,0.0018019676208496094
132,34,20,0.0016858577728271484
133,35,20,0.0017018318176269531
134,36,20,0.0016570091247558594
135,37,20,0.0015590190887451172
136,38,20,0.0015139579772949219
137,39,20,0.0016460418701171875
138,40,20,0.0016779899597167969
139,41,20,0.001712799072265625
140,42,20,0.0016901493072509766
141,43,20,0.0016248226165771484
142,44,20,0.0015118122100830078
143,45,20,0.00150299072265625
144,46,20,0.0014982223510742188
145,47,20,0.0015459060668945312
146,48,20,0.001531839370727539
147,49,20,0.0014810562133789062
148,50,20,0.0015497207641601562
149,51,20,0.001455068588256836
150,52,20,0.0014081001281738281
151,53,20,0.0014462471008300781
152,54,20,0.0013659000396728516
153,55,20,0.0014071464538574219
154,56,20,0.0014159679412841797
155,57,20,0.001367807388305664
156,58,20,0.0014531612396240234
157,59,20,0.0012280941009521484
158,60,20,0.0012311935424804688
159,61,20,0.0013051033020019531
160,62,20,0.0014903545379638672
161,63,20,0.0013709068298339844
162,64,20,0.0013031959533691406
163,65,20,0.0013430118560791016
164,66,20,0.0013189315795898438
165,67,20,0.001280069351196289
166,68,20,0.0012879371643066406
167,69,20,0.0012791156768798828
168,70,20,0.0013141632080078125
169,71,20,0.001276254653930664
170,72,20,0.0012731552124023438
171,73,20,0.001255035400390625
172,74,20,0.0012547969818115234
173,75,20,0.0012238025665283203
174,76,20,0.0012378692626953125
175,77,20,0.0013051033020019531
176,78,20,0.0012469291687011719
177,79,20,0.0013151168823242188
178,80,20,0.0012061595916748047
179,81,20,0.0012617111206054688
180,82,20,0.0011930465698242188
181,83,20,0.0012640953063964844
182,84,20,0.0012118816375732422
183,85,20,0.0012149810791015625
184,86,20,0.0012509822845458984
185,87,20,0.0011501312255859375
186,88,20,0.0011570453643798828
187,89,20,0.0012068748474121094
188,90,20,0.0012319087982177734
189,91,20,0.0011157989501953125
190,92,20,0.0011172294616699219
191,93,20,0.0011360645294189453
192,94,20,0.0010879039764404297
193,95,20,0.0011167526245117188
194,96,20,0.0010781288146972656
195,97,20,0.0010597705841064453
196,98,20,0.0012829303741455078
197,99,20,0.0010631084442138672
198,1,30,0.024060964584350586
199,2,30,0.019077062606811523
200,3,30,0.01581120491027832
201,4,30,0.013152599334716797
202,5,30,0.012349843978881836
203,6,30,0.010345935821533203
204,7,30,0.009068965911865234
205,8,30,0.00861811637878418
206,9,30,0.007934808731079102
207,10,30,0.0072650909423828125
208,11,30,0.007029056549072266
209,12,30,0.0060689449310302734
210,13,30,0.0059299468994140625
211,14,30,0.0059931278228759766
212,15,30,0.00580286979675293
213,16,30,0.005544185638427734
214,17,30,0.004976034164428711
215,18,30,0.0049228668212890625
216,19,30,0.004893779754638672
217,20,30,0.005197048187255859
218,21,30,0.005099058151245117
219,22,30,0.004913806915283203
220,23,30,0.004302978515625
221,24,30,0.004415988922119141
222,25,30,0.004185199737548828
223,26,30,0.003983020782470703
224,27,30,0.004070758819580078
225,28,30,0.0040438175201416016
226,29,30,0.004038810729980469
227,30,30,0.003941059112548828
228,31,30,0.003901243209838867
229,32,30,0.003898143768310547
230,33,30,0.0038831233978271484
231,34,30,0.0036029815673828125
232,35,30,0.0037178993225097656
233,36,30,0.0037462711334228516
234,37,30,0.003607034683227539
235,38,30,0.0035409927368164062
236,39,30,0.003777027130126953
237,40,30,0.0037691593170166016
238,41,30,0.003823995590209961
239,42,30,0.0037441253662109375
240,43,30,0.0037720203399658203
241,44,30,0.003596067428588867
242,45,30,0.003760814666748047
243,46,30,0.0035011768341064453
244,47,30,0.0035028457641601562
245,48,30,0.0036432743072509766
246,49,30,0.0034520626068115234
247,50,30,0.003475189208984375
248,51,30,0.003261089324951172
249,52,30,0.003422260284423828
250,53,30,0.0034759044647216797
251,54,30,0.0031249523162841797
252,55,30,0.0032949447631835938
253,56,30,0.0032498836517333984
254,57,30,0.0031909942626953125
255,58,30,0.0031337738037109375
256,59,30,0.0033609867095947266
257,60,30,0.003206014633178711
258,61,30,0.0034170150756835938
259,62,30,0.0032892227172851562
260,63,30,0.0032477378845214844
261,64,30,0.00308990478515625
262,65,30,0.003114938735961914
263,66,30,0.0031249523162841797
264,67,30,0.0030298233032226562
265,68,30,0.0029790401458740234
266,69,30,0.0029990673065185547
267,70,30,0.003002166748046875
268,71,30,0.003032684326171875
269,72,30,0.003050088882446289
270,73,30,0.0030291080474853516
271,74,30,0.0030710697174072266
272,75,30,0.002912759780883789
273,76,30,0.003103017807006836
274,77,30,0.0028836727142333984
275,78,30,0.0027980804443359375
276,79,30,0.0028450489044189453
277,80,30,0.002834796905517578
278,81,30,0.0027756690979003906
279,82,30,0.0027930736541748047
280,83,30,0.0027861595153808594
281,84,30,0.002622842788696289
282,85,30,0.0027420520782470703
283,86,30,0.0028009414672851562
284,87,30,0.0026001930236816406
285,88,30,0.0026290416717529297
286,89,30,0.002734661102294922
287,90,30,0.0024971961975097656
288,91,30,0.002402067184448242
289,92,30,0.002386808395385742
290,93,30,0.0028269290924072266
291,94,30,0.0025289058685302734
292,95,30,0.0025177001953125
293,96,30,0.002583026885986328
294,97,30,0.0025048255920410156
295,98,30,0.0023508071899414062
296,99,30,0.0024309158325195312
297,1,40,0.04346799850463867
298,2,40,0.034024953842163086
299,3,40,0.028532981872558594
300,4,40,0.023148059844970703
301,5,40,0.02066183090209961
302,6,40,0.01815032958984375
303,7,40,0.015677213668823242
304,8,40,0.01587700843811035
305,9,40,0.014194250106811523
306,10,40,0.012877225875854492
307,11,40,0.01214289665222168
308,12,40,0.011343240737915039
309,13,40,0.010639190673828125
310,14,40,0.010407209396362305
311,15,40,0.009555339813232422
312,16,40,0.009152889251708984
313,17,40,0.00952911376953125
314,18,40,0.00913691520690918
315,19,40,0.009057760238647461
316,20,40,0.008337020874023438
317,21,40,0.008414983749389648
318,22,40,0.008318901062011719
319,23,40,0.007646083831787109
320,24,40,0.008003950119018555
321,25,40,0.0076847076416015625
322,26,40,0.00764918327331543
323,27,40,0.007586956024169922
324,28,40,0.007879972457885742
325,29,40,0.007680177688598633
326,30,40,0.007061958312988281
327,31,40,0.006908893585205078
328,32,40,0.006877899169921875
329,33,40,0.007050991058349609
330,34,40,0.007046937942504883
331,35,40,0.006604194641113281
332,36,40,0.006443023681640625
333,37,40,0.006369113922119141
334,38,40,0.0063397884368896484
335,39,40,0.006374835968017578
336,40,40,0.0063169002532958984
337,41,40,0.0062410831451416016
338,42,40,0.00621795654296875
339,43,40,0.005960226058959961
340,44,40,0.006159067153930664
341,45,40,0.00598907470703125
342,46,40,0.00583195686340332
343,47,40,0.006094217300415039
344,48,40,0.005953073501586914
345,49,40,0.005781888961791992
346,50,40,0.0059969425201416016
347,51,40,0.005825042724609375
348,52,40,0.006000041961669922
349,53,40,0.005945920944213867
350,54,40,0.006150960922241211
351,55,40,0.005981922149658203
352,56,40,0.006016731262207031
353,57,40,0.0063343048095703125
354,58,40,0.0064928531646728516
355,59,40,0.0059278011322021484
356,60,40,0.006975889205932617
357,61,40,0.006345987319946289
358,62,40,0.0059909820556640625
359,63,40,0.006012916564941406
360,64,40,0.006066083908081055
361,65,40,0.005706071853637695
362,66,40,0.005805015563964844
363,67,40,0.00574493408203125
364,68,40,0.005692005157470703
365,69,40,0.005432844161987305
366,70,40,0.0054090023040771484
367,71,40,0.0057299137115478516
368,72,40,0.005415916442871094
369,73,40,0.005270957946777344
370,74,40,0.005254030227661133
371,75,40,0.005196094512939453
372,76,40,0.0051381587982177734
373,77,40,0.005215883255004883
374,78,40,0.005113840103149414
375,79,40,0.005201816558837891
376,80,40,0.005450010299682617
377,81,40,0.0052947998046875
378,82,40,0.0054090023040771484
379,83,40,0.005340099334716797
380,84,40,0.0052890777587890625
381,85,40,0.005013942718505859
382,86,40,0.0050427913665771484
383,87,40,0.005056142807006836
384,88,40,0.004893779754638672
385,89,40,0.004816770553588867
386,90,40,0.004838228225708008
387,91,40,0.004770040512084961
388,92,40,0.004675865173339844
389,93,40,0.004744052886962891
390,94,40,0.00462794303894043
